category,osm_key,osm_value,include,reason,decision,secondary_key,rule_type,excluded_values
attractions,tourism,attraction,True,Explicit OSM classification for tourist attractions.,RETAIN,,,
attractions,man_made,lighthouse,True,Lighthouses represent distinctive landmarks with potential visitor and sightseeing relevance.,RETAIN,,,
attractions,man_made,observatory,True,Observatories represent distinctive visitor-oriented or scientific destinations potentially relevant to travelers.,RETAIN,,,
viewpoints,tourism,viewpoint,True,Explicit OSM classification for scenic viewpoints.,RETAIN,,,
museums_culture,tourism,museum,True,Museums represent explicit visitor-oriented cultural destinations.,RETAIN,,,
museums_culture,tourism,gallery,True,Art galleries represent cultural places potentially relevant to travelers.,RETAIN,,,
museums_culture,tourism,artwork,True,Public artworks can represent cultural points of interest along a route.,RETAIN,,,
museums_culture,amenity,theatre,True,Theatres represent cultural and performing arts destinations.,RETAIN,,,
history_heritage,historic,monument,True,Monuments represent explicit historical or commemorative landmarks.,RETAIN,,,
history_heritage,historic,memorial,True,Memorials represent commemorative places of potential historical interest.,RETAIN,,,
history_heritage,historic,archaeological_site,True,Archaeological sites represent explicit heritage locations.,RETAIN,,,
history_heritage,historic,ruins,True,Historic ruins can represent visitor-relevant heritage features.,RETAIN,,,
history_heritage,historic,castle,True,Historic castles represent potentially significant heritage landmarks.,RETAIN,,,
history_heritage,historic,city_gate,True,Historic city gates can represent identifiable heritage landmarks.,RETAIN,,,
history_heritage,historic,citywalls,True,Historic city walls can represent visitor-relevant heritage structures.,RETAIN,,,
history_heritage,historic,battlefield,True,Historic battlefields may represent places of historical and cultural interest.,RETAIN,,,
history_heritage,historic,wayside_shrine,True,"Wayside shrines may represent small historical, religious, or cultural landmarks.",RETAIN,,,
history_heritage,historic,wayside_cross,True,"Wayside crosses may represent small historical, religious, or cultural landmarks.",RETAIN,,,
history_heritage,historic,church,True,Historic churches may represent culturally significant heritage destinations.,RETAIN,,,
history_heritage,historic,cannon,True,Historic cannons may represent military heritage features of visitor interest.,RETAIN,,,
history_heritage,historic,wreck,True,Historic wrecks may represent distinctive historical or archaeological features.,RETAIN,,,
