category,osm_key,osm_value,include,reason
attractions,tourism,attraction,True,Explicit OSM classification for tourist attractions.
attractions,man_made,lighthouse,True,Lighthouses represent distinctive landmarks with potential visitor and sightseeing relevance.
attractions,man_made,observatory,True,Observatories represent distinctive visitor-oriented or scientific destinations potentially relevant to travelers.
viewpoints,tourism,viewpoint,True,Explicit OSM classification for scenic viewpoints.
museums_culture,tourism,museum,True,Museums represent explicit visitor-oriented cultural destinations.
museums_culture,tourism,gallery,True,Art galleries represent cultural places potentially relevant to travelers.
museums_culture,tourism,artwork,True,Public artworks can represent cultural points of interest along a route.
museums_culture,amenity,theatre,True,Theatres represent cultural and performing arts destinations.
history_heritage,historic,monument,True,Monuments represent explicit historical or commemorative landmarks.
history_heritage,historic,memorial,True,Memorials represent commemorative places of potential historical interest.
history_heritage,historic,archaeological_site,True,Archaeological sites represent explicit heritage locations.
history_heritage,historic,ruins,True,Historic ruins can represent visitor-relevant heritage features.
history_heritage,historic,castle,True,Historic castles represent potentially significant heritage landmarks.
history_heritage,historic,city_gate,True,Historic city gates can represent identifiable heritage landmarks.
history_heritage,historic,citywalls,True,Historic city walls can represent visitor-relevant heritage structures.
history_heritage,historic,battlefield,True,Historic battlefields may represent places of historical and cultural interest.
history_heritage,historic,wayside_shrine,True,"Wayside shrines may represent small historical, religious, or cultural landmarks."
history_heritage,historic,wayside_cross,True,"Wayside crosses may represent small historical, religious, or cultural landmarks."
history_heritage,historic,church,True,Historic churches may represent culturally significant heritage destinations.
history_heritage,historic,cannon,True,Historic cannons may represent military heritage features of visitor interest.
history_heritage,historic,wreck,True,Historic wrecks may represent distinctive historical or archaeological features.
history_heritage,historic,manor,True,Historic manors may represent architecturally and culturally significant heritage places.
history_heritage,man_made,obelisk,True,Obelisks may represent commemorative or historically significant landmarks.
history_heritage,man_made,windmill,True,Windmills may represent historic or culturally significant structures of visitor interest.
history_heritage,man_made,watermill,True,Watermills may represent historic or culturally significant structures of visitor interest.
history_heritage,man_made,ceremonial_gate,True,Ceremonial gates may represent culturally or historically significant landmarks.
nature,natural,water,True,Water bodies may represent scenic natural destinations; their specific types require subsequent validation.
nature,natural,wetland,True,Wetlands may represent natural areas of ecological and visitor interest.
nature,natural,peak,True,Mountain peaks may represent scenic or exploration-oriented destinations.
nature,natural,cliff,True,Cliffs may represent distinctive natural landmarks or scenic locations.
nature,natural,bare_rock,True,Exposed rock formations may represent distinctive natural landscapes.
nature,natural,beach,True,Beaches represent natural destinations potentially relevant to travelers.
nature,natural,ridge,True,Mountain ridges may represent scenic geographic features relevant to exploration.
nature,natural,spring,True,Natural springs may represent places of scenic or recreational interest.
nature,natural,cape,True,Capes may represent distinctive scenic coastal destinations.
nature,natural,reef,True,Reefs may represent distinctive natural features of visitor interest.
nature,natural,rock,True,Notable rock formations may represent distinctive natural landmarks.
nature,natural,glacier,True,Glaciers represent distinctive natural geographic features.
nature,natural,bay,True,Bays may represent scenic natural destinations relevant to travelers.
nature,natural,cave_entrance,True,Cave entrances may identify natural sites of exploration or visitor interest.
nature,natural,stone,True,Notable stones may represent distinctive natural landmarks.
nature,natural,desert,True,Desert areas may represent distinctive landscapes and exploration destinations.
nature,natural,volcano,True,Volcanoes represent distinctive natural landmarks and potential destinations.
nature,natural,hot_spring,True,Hot springs may represent natural destinations with recreational interest.
nature,natural,saddle,True,Mountain saddles may represent relevant geographic features for outdoor exploration.
nature,natural,valley,True,Valleys may represent scenic geographic destinations.
nature,natural,mountain_range,True,Mountain ranges represent significant natural landscapes relevant to exploration.
nature,natural,hill,True,Hills may represent scenic or exploration-oriented natural destinations.
nature,natural,waterfall,True,Waterfalls represent distinctive natural attractions suitable for route exploration.
nature,natural,strait,True,Straits may represent distinctive scenic geographic features.
nature,natural,gulf,True,Gulfs may represent significant scenic coastal features.
nature,natural,sinkhole,True,Sinkholes may represent distinctive geological features of exploration interest.
nature,natural,islet,True,Islets may represent distinctive natural destinations or scenic features.
nature,natural,dune,True,Dunes may represent distinctive natural landscapes of visitor interest.
nature,natural,geyser,True,Geysers represent distinctive natural phenomena of visitor interest.
nature,natural,peninsula,True,Peninsulas may represent distinctive geographic destinations with scenic value.
nature,leisure,nature_reserve,True,"Nature reserves represent protected natural areas with potential scenic, ecological, and exploration value for travelers."
nature,waterway,waterfall,True,Waterfalls represent distinctive natural features with strong potential relevance for route-oriented exploration.
